全国地方公共団体コード,ID,名称,名称_カナ,所在地_全国地方公共団体コード,所在地_連結表記,緯度,経度,電話番号,市区町村コード,地方公共団体名,想定収容人数,備考
222232,CC00000001,池新田地区センター,イケシンデンチクセンター,222232,静岡県御前崎市池新田3262,34.648205,138.129044,0537-86-2200,222232,静岡県御前崎市,498,方面隊
222232,CC00000002,高松地区センター　体育館,タカマツチクセンター　タイイクカン,222232,静岡県御前崎市門屋2060-2,34.65336,138.102408,0537-86-4949,222232,静岡県御前崎市,227,方面隊
222232,CC00000003,佐倉地区センター,サクラチクセンター,222232,静岡県御前崎市佐倉3617-1,34.629518,138.156735,0537-86-2304,222232,静岡県御前崎市,488,方面隊
222232,CC00000004,比木地区センター　体育館,ヒキチクセンター　タイイクカン,222232,静岡県御前崎市比木2836-5,34.654394,138.165661,0537-86-3463,222232,静岡県御前崎市,378,方面隊
222232,CC00000005,朝比奈地区センター　体育館,アサヒナチクセンター　タイイクカン,222232,静岡県御前崎市上朝比奈2681-1,34.667689,138.147028,0537-86-3365,222232,静岡県御前崎市,364,方面隊
222232,CC00000006,新野地区センター　体育館,ニイノチクセンター　タイイクカン,222232,静岡県御前崎市新野789-1,34.672153,138.118556,0537-86-2024,222232,静岡県御前崎市,265,方面隊
222232,CC00000007,御前崎地区センター,オマエザキチクセンター,222232,静岡県御前崎市白羽5401-1,34.61125,138.205892,0548-63-3828,222232,静岡県御前崎市,903,方面隊
222232,CC00000008,御前崎第一小学校　体育館,オマエザキダイイチショウガッコウ　タイイクカン,222232,静岡県御前崎市池新田1520,34.652174,138.120393,0537-86-2052,222232,静岡県御前崎市,350,避難所は体育館
222232,CC00000009,浜岡東小学校　体育館,ハマオカヒガシショウガッコウ　タイイクカン,222232,静岡県御前崎市佐倉1403-1,34.635867,138.159344,0537-86-3462,222232,静岡県御前崎市,285,避難所は体育館
222232,CC00000010,浜岡北小学校　体育館,ハマオカキタショウガッコウ　タイイクカン,222232,静岡県御前崎市下朝比奈753,34.669248,138.134234,0537-86-3364,222232,静岡県御前崎市,293,避難所は体育館
222232,CC00000011,御前崎小学校　体育館,オマエザキショウガッコウ　タイイクカン,222232,静岡県御前崎市御前崎3556,34.604265,138.216186,0548-63-2007,222232,静岡県御前崎市,378,避難所は体育館
222232,CC00000012,白羽小学校　体育館,シロワショウガッコウ　タイイクカン,222232,静岡県御前崎市白羽3521-3,34.611171,138.189884,0548-63-2177,222232,静岡県御前崎市,407,避難所は体育館
222232,CC00000013,浜岡中学校　体育館,ハマオカチュウガッコウ　タイイクカン,222232,静岡県御前崎市池新田3923-1,34.64339,138.128797,0537-86-3355,222232,静岡県御前崎市,1169,避難所は体育館
222232,CC00000014,池新田高等学校　体育館,イケシンデンコウトウガッコウ　タイイクカン,222232,静岡県御前崎市池新田2907-1,34.650817,138.127107,0537-86-2460,222232,静岡県御前崎市,1003,静岡県有施設
222232,CC00000015,はまおか幼稚園,ハマオカヨウチエン,222232,静岡県御前崎市池新田5814,34.63870,138.1310,0537-86-2049,222232,静岡県御前崎市,629,遊戯室を災害状況により開設
222232,CC00000016,さくらこども園,サクラコドモエン,222232,静岡県御前崎市佐倉888-1,34.634554,138.155555,0537-86-3036,222232,静岡県御前崎市,1104,遊戯室を災害状況により開設
222232,CC00000017,北こども園,キタコドモエン,222232,静岡県御前崎市上朝比奈2692-12,34.66950,138.1480,0537-86-3234,222232,静岡県御前崎市,353,遊戯室を災害状況により開設
222232,CC00000018,御前崎こども園　幼児棟,オマエザキコドモエン　ヨウジトウ,222232,静岡県御前崎市御前崎78-27,34.604173,138.213801,0548-63-2342,222232,静岡県御前崎市,353,遊戯室を災害状況により開設
222232,CC00000019,社会福祉法人　御前崎厚生会　灯光園,シャカイフクシホウジン　オマエザキコウセイカイ　トウコウエン,222232,静岡県御前崎市御前崎35-37,34.600718,138.2230,0548-63-3729,222232,静岡県御前崎市,,福祉避難所
222233,CC00000020,社会福祉法人　賛育会　東海清風園,シャカイフクシホウジン　サンイクカイ　トウカイセイフウエン,222233,静岡県御前崎市池新田4094,34.641854,138.131523,0537-86-3286,222232,静岡県御前崎市,,福祉避難所
222232,CC00000021,御前崎ふれあい福祉センター（なごみ）,オマエザキフレアイフクシエンター（ナゴミ）,222232,静岡県御前崎市白羽5402-10,34.611877,138.204225,0548-63-6860,222232,静岡県御前崎市,,福祉避難所
222233,CC00000022,グループホーム　風音A棟,グループホーム　カザネAトウ,222233,静岡県御前崎市池新田4821-1,34.640782,138.119938,0537-29-6556,222232,静岡県御前崎市,,福祉避難所
222232,CC00000023,東町公民館,アズマチョウコウミンカン,222232,静岡県御前崎市池新田3774-1,34.645136,138.134434,0537-86-4502,222232,静岡県御前崎市,87,一次避難所
222232,CC00000024,本町公民館,ホンマチコウミンカン,222232,静岡県御前崎市池新田3266-1,34.648142,138.129391,0537-86-5793,222232,静岡県御前崎市,95,一次避難所
222232,CC00000025,早苗町公民館,サナエチョウコウミンカン,222232,静岡県御前崎市池新田2981-14,34.652257,138.129354,,222232,静岡県御前崎市,96,一次避難所
222232,CC00000026,中町公民館,ナカマチコウミンカン,222232,静岡県御前崎市池新田2316-2,34.646036,138.1260,,222232,静岡県御前崎市,145,一次避難所
222232,CC00000027,大山第一公民館,オオヤマダイイチコウミンカン,222232,静岡県御前崎市池新田2625-1,34.64354,138.120375,86-6538,222232,静岡県御前崎市,75,一次避難所
222232,CC00000028,大山第二公民館,オオヤマダイニコウミンカン,222232,静岡県御前崎市池新田4471-1,34.64360,138.120456,,222232,静岡県御前崎市,139,一次避難所
222232,CC00000029,門屋公民館,カドヤコウミンカン,222232,静岡県御前崎市門屋1268-3,34.65580,138.112755,0537-86-6902,222232,静岡県御前崎市,91,一次避難所
222232,CC00000030,七ツ山公民館,ナナツヤマコウミンカン,222232,静岡県御前崎市合戸2508-3,34.64927,138.113238,,222232,静岡県御前崎市,56,一次避難所
222232,CC00000031,塩原公民館,シオバラコウミンカン,222232,静岡県御前崎市塩原新田331-1,34.649032,138.104485,0537-86-7384,222232,静岡県御前崎市,112,一次避難所
222232,CC00000032,合戸公民館,ゴウドコウミンカン,222232,静岡県御前崎市合戸1076-1,34.656194,138.085468,0537-86-8390,222232,静岡県御前崎市,100,一次避難所
222232,CC00000033,合戸北公民館,ゴウドキタコウミンカン,222232,静岡県御前崎市合戸312-2,34.656194,138.085488,,222232,静岡県御前崎市,35,一次避難所
222232,CC00000034,佐倉一区防災センター,サクライックボウサイセンター,222232,静岡県御前崎市佐倉1831,34.62914,138.1640,0537-86-8019,222232,静岡県御前崎市,140,一次避難所
222232,CC00000035,佐倉二区防災センター,サクラニクボウサイセンター,222232,静岡県御前崎市佐倉3604-1,34.62884,138.156665,0537-86-8029,222232,静岡県御前崎市,140,一次避難所
222232,CC00000036,佐倉三区防災センター,サクラサンクボウサイセンター,222232,静岡県御前崎市佐倉795,34.636891,138.15656,0537-86-8013,222232,静岡県御前崎市,140,一次避難所
222232,CC00000037,桜ヶ池防災センター,サクラガイケボウサイセンター,222232,静岡県御前崎市佐倉4835-12,34.636982,138.141671,0537-86-8014,222232,静岡県御前崎市,140,一次避難所
222232,CC00000038,比木原公民館,ヒキバラコウミンカン,222232,静岡県御前崎市比木732-1,34.669153,138.16708,86-3177,222232,静岡県御前崎市,55,一次避難所
222232,CC00000039,比木原第二公民館,ヒキバラダイニコウミンカン,222232,静岡県御前崎市比木3065-12,34.661033,138.152838,,222232,静岡県御前崎市,39,一次避難所
222232,CC00000040,下比木公民館,シモヒキコウミンカン,222232,静岡県御前崎市比木4294-3,34.647635,138.162143,86-2800,222232,静岡県御前崎市,95,一次避難所
222232,CC00000041,中田公民館,ナカダコウミンカン,222232,静岡県御前崎市比木3968-1,34.65028,138.153894,,222232,静岡県御前崎市,33,一次避難所
222232,CC00000042,宮木公民館,ミヤキコウミンカン,222232,静岡県御前崎市比木3685-1,34.65010,138.159553,,222232,静岡県御前崎市,33,一次避難所
222232,CC00000043,山田公民館,ヤマダコウミンカン,222232,静岡県御前崎市比木5053,34.647513,138.165166,,222232,静岡県御前崎市,24,一次避難所
222232,CC00000044,名波公民館（老人憩いの家）,ナナミコウミンカン（ロウジンイコイノイエ）,222232,静岡県御前崎市比木5576-1,34.643511,138.163356,,222232,静岡県御前崎市,30,一次避難所
222232,CC00000045,梶ヶ谷公民館（老人憩いの家）,カジガヤコウミンカン（ロウジンイコイノイエ）,222232,静岡県御前崎市比木5735-1,34.64069,138.164333,,222232,静岡県御前崎市,30,一次避難所
222232,CC00000046,上比木公民館,カミヒキコウミンカン,222232,静岡県御前崎市比木2119,34.655352,138.173574,86-2988,222232,静岡県御前崎市,39,一次避難所
222232,CC00000047,勝佐公民館,カッサコウミンカン,222232,静岡県御前崎市比木2544-4,34.65250,138.165825,,222232,静岡県御前崎市,18,一次避難所
222232,CC00000048,上老人憩いの家,カミロウジンイコイノイエ,222232,静岡県御前崎市比木1575-3,34.658688,138.175332,,222232,静岡県御前崎市,22,一次避難所
222232,CC00000049,会下ノ谷公民館,エゲノヤコウミンカン,222232,静岡県御前崎市比木3192-2,34.655458,138.1630,,222232,静岡県御前崎市,53,一次避難所
222232,CC00000050,行僧原公民館,ギョウソウバラコウミンカン,222232,静岡県御前崎市上朝比奈255-1,34.673839,138.170924,,222232,静岡県御前崎市,27,一次避難所
222232,CC00000051,中原公民館,ナカハラコウミンカン,222232,静岡県御前崎市上朝比奈491-6,34.688584,138.16521,,222232,静岡県御前崎市,26,一次避難所
222232,CC00000052,西原公民館,ニシバラコウミンカン,222232,静岡県御前崎市上朝比奈3199-1,34.695517,138.14376,,222232,静岡県御前崎市,26,一次避難所
222232,CC00000053,朝比奈原公民館,アサヒナバラコウミンカン,222232,静岡県御前崎市上朝比奈1756-5,34.691976,138.153301,,222232,静岡県御前崎市,51,一次避難所
222232,CC00000054,横舟公民館,ヨコブナコウミンカン,222232,静岡県御前崎市上朝比奈3688-4,34.677776,138.149198,,222232,静岡県御前崎市,58,一次避難所
222232,CC00000055,小泉公民館,コイズミコウミンカン,222232,静岡県御前崎市上朝比奈2492-8,34.666076,138.1530,,222232,静岡県御前崎市,33,一次避難所
222232,CC00000056,山ヶ谷公民館,ヤマガヤコウミンカン,222232,静岡県御前崎市上朝比奈1083-1,34.674825,138.1620,,222232,静岡県御前崎市,45,一次避難所
222232,CC00000057,宮ヶ谷公民館,ミヤガヤコウミンカン,222232,静岡県御前崎市下朝比奈1205-1,34.663385,138.1410,,222232,静岡県御前崎市,43,一次避難所
222232,CC00000058,岩地公民館,イワヂコウミンカン,222232,静岡県御前崎市下朝比奈605,34.671928,138.13668,,222232,静岡県御前崎市,39,一次避難所
222232,CC00000059,南公民館,ミナミコウミンカン,222232,静岡県御前崎市下朝比奈1741-2,34.661754,138.145086,,222232,静岡県御前崎市,32,一次避難所
222232,CC00000060,下公民館,シモコウミンカン,222232,静岡県御前崎市下朝比奈2668-3,34.660323,138.132819,,222232,静岡県御前崎市,40,一次避難所
222232,CC00000061,新野西町内会集会所,ニイノニシチョウナイカイシュウカイジョ,222232,静岡県御前崎市新野972,34.669912,138.115885,,222232,静岡県御前崎市,23,一次避難所
222232,CC00000062,山田ヶ谷公会堂,ヤマダガヤコウカイドウ,222232,静岡県御前崎市新野950-1,34.669912,138.115885,,222232,静岡県御前崎市,26,一次避難所
222232,CC00000063,中尾公会堂,ナカオコウカイドウ,222232,静岡県御前崎市新野991-1,34.673808,138.11585,,222232,静岡県御前崎市,32,一次避難所
222232,CC00000064,木ヶ谷公会堂,キガヤコウカイドウ,222232,静岡県御前崎市新野245-1,34.665223,138.1160,,222232,静岡県御前崎市,23,一次避難所
222232,CC00000065,新野東町内会集会所,ニイノヒガシチョウナイカイシュウカイジョ,222232,静岡県御前崎市新野2659-2,34.684521,138.119501,,222232,静岡県御前崎市,13,一次避難所
222232,CC00000066,新野原公民館,ニイノハラコウミンカン,222232,静岡県御前崎市新野3217-4,34.698706,138.138716,,222232,静岡県御前崎市,29,一次避難所
222232,CC00000067,有ヶ谷公会堂,アリガヤコウカイドウ,222232,静岡県御前崎市新野2698-3,34.687011,138.123676,,222232,静岡県御前崎市,38,一次避難所
222232,CC00000068,上組公会堂,カミグミコウカイドウ,222232,静岡県御前崎市新野2204-5,34.678456,138.1160,,222232,静岡県御前崎市,32,一次避難所
222232,CC00000069,篠ヶ谷公会堂,シノガヤコウカイドウ,222232,静岡県御前崎市新野3872-1,34.677392,138.1230,,222232,静岡県御前崎市,51,一次避難所
222232,CC00000070,長谷公会堂,ナガヤコウカイドウ,222232,静岡県御前崎市新野5190-1,34.667576,138.1250,,222232,静岡県御前崎市,33,一次避難所
222232,CC00000071,黒田公会堂,クロダコウカイドウ,222232,静岡県御前崎市新野5536-2,34.662312,138.125492,,222232,静岡県御前崎市,31,一次避難所
222232,CC00000072,上岬コミュニティセンター,ウエミサキコミュニティセンター,222232,静岡県御前崎市御前崎1615-1,34.597014,138.2239,,222232,静岡県御前崎市,71,一次避難所
222232,CC00000073,下岬コミュニティ防災センター,シタミサキコミュニティボウサイセンター,222232,静岡県御前崎市御前崎937-6,34.60086,138.228904,,222232,静岡県御前崎市,140,一次避難所
222232,CC00000074,大山区民センター,オオヤマクミンセンター,222232,静岡県御前崎市御前崎68-14,34.602447,138.216599,,222232,静岡県御前崎市,120,一次避難所
222232,CC00000075,西側区民館,ニシガワクミンカン,222232,静岡県御前崎市御前崎88-32,34.60542,138.212136,,222232,静岡県御前崎市,89,一次避難所
222232,CC00000076,女岩コミュニティ防災センター,メイワコミュニティボウサイセンター,222232,静岡県御前崎市御前崎117-13,34.609817,138.210394,,222232,静岡県御前崎市,95,一次避難所
222232,CC00000077,広沢区コミュニティセンター,ヒロザワクコミュニティセンター,222232,静岡県御前崎市御前崎105-45,34.607617,138.2080,,222232,静岡県御前崎市,113,一次避難所
222232,CC00000078,新谷コミュニティ防災センター,アラヤコミュニティボウサイセンター,222232,静岡県御前崎市白羽5554-3,34.614308,138.204521,,222232,静岡県御前崎市,108,一次避難所
222232,CC00000079,薄原いきいきセンター,ススキハライキイキセンター,222232,静岡県御前崎市白羽5980-2,34.609736,138.20428,0548-63-5955,222232,静岡県御前崎市,87,一次避難所
222232,CC00000080,中原区民館,ナカハラクミンカン,222232,静岡県御前崎市白羽5166-16,34.609442,138.196222,,222232,静岡県御前崎市,97,一次避難所
222232,CC00000081,白羽コミュニティセンター,シロワコミュニティセンター,222232,静岡県御前崎市白羽3503-7,34.611624,138.185563,,222232,静岡県御前崎市,106,一次避難所
222232,CC00000082,白浜コミュニティ防災センター,シラハマコミュニティボウサイセンター,222232,静岡県御前崎市白羽1364-1,34.613619,138.177578,0548-63-2980,222232,静岡県御前崎市,148,一次避難所
222232,CC00000083,新神子区コミュニティセンター,シンカンゴクコミュニティセンター,222232,静岡県御前崎市白羽646-4,34.617983,138.170602,,222232,静岡県御前崎市,78,一次避難所
